date,btc_price,fear_greed_index
2018-02-01,10114.5,30.0
2018-02-12,8168.64,42.0
2018-02-23,10032.86,39.0
2018-03-05,11286.68,55.0
2018-03-16,8359.37,33.0
2018-03-27,8186.2,24.0
2018-04-06,6855.42,19.0
2018-04-20,8277.46,26.0
2018-05-01,9198.19,56.0
2018-05-11,8969.94,41.0
2018-05-22,8355.0,30.0
2018-06-02,7487.08,27.0
2018-06-13,6581.83,19.0
2018-06-23,6088.58,17.0
2018-07-04,6497.61,33.0
2018-07-15,6246.14,32.0
2018-07-25,8422.37,54.0
2018-08-05,7009.01,23.0
2018-08-16,6267.77,21.0
2018-08-26,6736.04,19.0
2018-09-06,6764.93,14.0
2018-09-17,6506.25,25.0
2018-09-28,6704.7,42.0
2018-10-08,6584.83,26.0
2018-10-19,6517.51,24.0
2018-10-30,6292.65,31.0
2018-11-09,6490.45,47.0
2018-11-20,4889.2,21.0
2018-12-01,4009.69,13.0
2018-12-11,3433.81,15.0
2018-12-22,3846.23,28.0
2019-01-02,3794.26,30.0
2019-01-12,3632.85,22.0
2019-01-23,3571.27,33.0
2019-02-03,3486.58,19.0
2019-02-14,3610.06,48.0
2019-02-24,4115.34,69.0
2019-03-07,3860.51,56.0
2019-03-18,3980.99,56.0
2019-03-28,4036.16,49.0
2019-04-08,5176.98,65.0
2019-04-19,5274.77,61.0
2019-04-29,5257.8,42.0
2019-05-10,6168.27,71.0
2019-05-21,7976.85,68.0
2019-06-01,8575.65,62.0
2019-06-11,8002.73,61.0
2019-06-22,10118.36,83.0
2019-07-03,10822.76,79.0
2019-07-13,11804.56,65.0
2019-07-24,9936.38,20.0
2019-08-04,10791.2,62.0
2019-08-14,10903.65,11.0
2019-08-25,10145.01,33.0
2019-09-05,10573.52,41.0
2019-09-16,10305.68,38.0
2019-09-26,8446.24,12.0
2019-10-07,7890.23,27.0
2019-10-18,8079.93,40.0
2019-10-28,9502.02,52.0
2019-11-08,9221.07,42.0
2019-11-19,8202.83,32.0
2019-11-29,7438.62,31.0
2019-12-10,7347.04,26.0
2019-12-21,7185.44,23.0
2020-01-01,7195.15,37.0
2020-01-11,8180.51,50.0
2020-01-22,8724.82,52.0
2020-02-02,9363.22,57.0
2020-02-12,10226.93,61.0
2020-02-23,9658.61,46.0
2020-03-05,8758.65,41.0
2020-03-15,5214.19,12.0
2020-03-26,6695.9,14.0
2020-04-06,6788.05,12.0
2020-04-17,7059.93,15.0
2020-04-27,7683.87,28.0
2020-05-08,9959.17,55.0
2020-05-19,9708.44,50.0
2020-05-29,9546.05,48.0
2020-06-09,9773.03,52.0
2020-06-20,9312.78,38.0
2020-06-30,9185.17,44.0
2020-07-11,9282.91,44.0
2020-07-22,9384.38,50.0
2020-08-02,11812.09,80.0
2020-08-12,11398.67,75.0
2020-08-23,11676.39,76.0
2020-09-03,11418.25,79.0
2020-09-13,10439.38,38.0
2020-09-24,10223.78,39.0
2020-10-05,10670.7,42.0
2020-10-15,11435.57,56.0
2020-10-26,13021.41,75.0
2020-11-06,15333.0,90.0
2020-11-17,16750.0,86.0
2020-11-27,17049.0,86.0
2020-12-08,19163.5,95.0
2020-12-19,23066.0,93.0
2020-12-29,26918.0,91.0
2021-01-09,40941.5,93.0
2021-01-20,36045.0,78.0
2021-01-30,34652.0,76.0
2021-02-10,46777.0,92.0
2021-02-21,55677.5,91.0
2021-03-04,50391.0,84.0
2021-03-14,61465.0,78.0
2021-03-25,52507.5,60.0
2021-04-05,58187.5,71.0
2021-04-15,63286.0,79.0
2021-04-26,50188.0,27.0
2021-05-07,57028.5,64.0
2021-05-17,46207.5,27.0
2021-05-28,38843.0,21.0
2021-06-08,33900.5,13.0
2021-06-18,38091.0,25.0
2021-06-29,34586.0,25.0
2021-07-10,33968.5,20.0
2021-07-21,29776.5,10.0
2021-07-31,42040.0,60.0
2021-08-11,45709.5,70.0
2021-08-22,48775.0,76.0
2021-09-01,47057.0,71.0
2021-09-12,45167.5,32.0
2021-09-23,43480.5,27.0
2021-10-03,47685.5,49.0
2021-10-14,57460.0,70.0
2021-10-25,60980.5,72.0
2021-11-05,61120.5,73.0
2021-11-15,66065.5,72.0
2021-11-26,58990.0,47.0
2021-12-07,50461.0,25.0
2021-12-17,47776.0,23.0
2021-12-28,50323.5,41.0
2022-01-08,41781.5,10.0
2022-01-18,42303.5,24.0
2022-01-29,37886.5,24.0
2022-02-09,44163.0,54.0
2022-02-20,40050.0,27.0
2022-03-02,44563.0,52.0
2022-03-13,38907.5,21.0
2022-03-24,43050.5,40.0
2022-04-03,45930.0,48.0
2022-04-14,41090.5,28.0
2022-04-25,39210.0,23.0
2022-05-05,39572.0,27.0
2022-05-16,31041.5,14.0
2022-05-27,29253.5,12.0
2022-06-07,31148.0,15.0
2022-06-17,20512.0,9.0
2022-06-28,20813.5,10.0
2022-07-09,21513.5,24.0
2022-07-19,22633.5,30.0
2022-07-30,23892.0,42.0
2022-08-10,23037.5,31.0
2022-08-20,20956.5,29.0
2022-08-31,19869.5,23.0
2022-09-11,21596.0,26.0
2022-09-22,18376.0,22.0
2022-10-02,19297.5,24.0
2022-10-13,19142.0,20.0
2022-10-24,19555.5,22.0
2022-11-03,20128.0,30.0
2022-11-15,16560.0,22.0
2022-11-26,16523.5,22.0
2022-12-06,16977.5,25.0
2022-12-17,16660.0,28.0
2022-12-28,16691.5,28.0
2023-01-08,16939.5,25.0
2023-01-18,21149.5,52.0
2023-01-29,22973.0,55.0
2023-02-09,22943.5,55.0
2023-02-19,24652.0,60.0
2023-03-02,23723.0,51.0
2023-03-13,22254.0,49.0
2023-03-23,27393.0,57.0
2023-04-03,28145.0,63.0
2023-04-14,30362.0,68.0
2023-04-25,27540.0,53.0
2023-05-05,28860.0,61.0
2023-05-17,26987.0,50.0
2023-05-28,26787.5,50.0
2023-06-07,27170.5,53.0
2023-06-18,26502.5,49.0
2023-06-29,30085.0,54.0
2023-07-09,30265.5,55.0
2023-07-20,29909.5,56.0
2023-07-31,29259.0,50.0
2023-08-10,29582.0,53.0
2023-09-04,25928.5,40.0
2023-09-15,26484.0,45.0
2023-09-26,26260.0,46.0
2023-10-06,27395.5,50.0
2023-10-17,28441.5,52.0
2023-10-28,33892.0,65.0
2023-11-07,35071.0,68.0
2023-11-18,36480.0,69.0
2023-11-29,37714.0,72.0
2023-12-09,44175.0,73.0
2023-12-20,42383.0,74.0
2023-12-31,42362.5,67.0
2024-01-11,46331.5,76.0
2024-01-21,41644.0,56.0
2024-02-01,42511.0,63.0
2024-02-12,48372.5,70.0
2024-02-22,51766.5,74.0
2024-03-04,63509.0,82.0
2024-03-15,71573.0,83.0
2024-03-25,66887.0,75.0
2024-04-05,68247.5,79.0
2024-04-16,63382.0,65.0
2024-04-27,63749.5,67.0
2024-05-07,62972.0,68.0
2024-05-18,66912.5,73.0
2024-05-29,68371.0,72.0
2024-06-08,69342.0,72.0
2024-06-19,64878.5,64.0
2024-06-30,60812.0,47.0
2024-07-10,57722.5,28.0
2024-07-21,67332.0,74.0
2024-08-01,64625.0,52.0
2024-08-12,59076.9,25.0
2024-08-22,61111.0,39.0
2024-09-02,57415.4,26.0
2024-09-13,58125.7,32.0
2024-09-23,62805.6,50.0
2024-10-04,60621.7,41.0
2024-10-15,66079.2,65.0
2024-10-25,68195.3,72.0
2024-11-06,69812.9,70.0
2024-11-17,90887.4,90.0
2024-11-28,96129.8,77.0
2024-12-08,99795.1,79.0
2024-12-19,100691.0,75.0
2024-12-30,93586.9,65.0
2025-01-09,95000.0,69.0
2025-01-20,100906.9,76.0
