date,fear_greed_index,rating,price
2024-08-16,33.74,fear,5554.25
2024-08-19,39.89,fear,5608.25
2024-08-20,44.69,fear,5597.12
2024-08-21,50.23,neutral,5620.85
2024-08-22,46.77,neutral,5570.64
2024-08-23,51.57,neutral,5634.61
2024-08-26,52.94,neutral,5616.84
2024-08-27,52.29,neutral,5625.8
2024-08-28,51.09,neutral,5592.18
2024-08-29,56.06,greed,5591.96
2024-08-30,60.31,greed,5648.4
2024-09-03,56.34,greed,5528.93
2024-09-04,56.63,greed,5520.07
2024-09-05,50.63,neutral,5503.41
2024-09-06,39.34,fear,5408.42
2024-09-09,41.97,fear,5471.05
2024-09-10,39.69,fear,5495.52
2024-09-11,43.09,fear,5554.13
2024-09-12,42.97,fear,5595.76
2024-09-13,48.63,neutral,5626.02
2024-09-16,50.31,neutral,5633.09
2024-09-17,54.63,neutral,5634.58
2024-09-18,55.17,greed,5618.26
2024-09-19,63.8,greed,5713.64
2024-09-20,61.2,greed,5702.55
2024-09-23,63.86,greed,5718.57
2024-09-24,66.43,greed,5732.93
2024-09-25,65.74,greed,5722.26
2024-09-26,70.74,greed,5745.37
2024-09-27,67.31,greed,5738.17
2024-09-30,73.69,greed,5762.48
2024-10-01,70.31,greed,5708.75
2024-10-02,70.57,greed,5709.54
2024-10-03,69.43,greed,5699.94
2024-10-04,71.4,greed,5751.07
2024-10-07,70.83,greed,5695.94
2024-10-08,71.17,greed,5751.13
2024-10-09,71.14,greed,5792.04
2024-10-10,70.29,greed,5780.05
2024-10-11,71.66,greed,5815.03
2024-10-14,74.23,greed,5859.85
2024-10-15,71.14,greed,5815.26
2024-10-16,69.03,greed,5842.47
2024-10-17,68.57,greed,5841.47
2024-10-18,72.43,greed,5864.67
2024-10-21,69.8,greed,5853.98
2024-10-22,70.37,greed,5851.2
2024-10-23,63.2,greed,5797.42
2024-10-24,62.94,greed,5809.86
2024-10-25,58.74,greed,5808.12
2024-10-28,60.86,greed,5823.52
2024-10-29,60.06,greed,5832.92
2024-10-30,57.2,greed,5813.67
2024-10-31,40.46,fear,5705.45
2024-11-01,50.49,neutral,5728.8
2024-11-04,42.43,fear,5712.69
2024-11-05,43.54,fear,5782.76
2024-11-06,44.0,fear,5929.04
2024-11-07,59.06,greed,5973.1
2024-11-08,59.43,greed,5995.54
2024-11-11,66.6,greed,6001.35
2024-11-12,66.71,greed,5983.99
2024-11-13,66.31,greed,5985.38
2024-11-14,60.31,greed,5949.17
2024-11-15,51.2,neutral,5870.62
2024-11-18,50.29,neutral,5893.62
2024-11-19,49.51,neutral,5916.98
2024-11-20,49.51,neutral,5917.11
2024-11-21,56.6,greed,5948.71
2024-11-22,60.71,greed,5969.34
2024-11-25,62.89,greed,5987.37
2024-11-26,65.91,greed,6021.63
2024-11-27,64.4,greed,5998.74
2024-11-29,65.0,greed,6032.38
2024-12-02,65.31,greed,6047.15
2024-12-03,59.57,greed,6049.88
2024-12-04,57.49,greed,6086.49
2024-12-05,54.91,neutral,6075.11
2024-12-06,52.14,neutral,6090.27
2024-12-09,49.26,neutral,6052.85
2024-12-10,46.97,neutral,6034.91
2024-12-11,49.2,neutral,6084.19
2024-12-12,47.11,neutral,6051.25
2024-12-13,49.11,neutral,6051.09
2024-12-16,56.06,greed,6074.08
2024-12-17,51.4,neutral,6050.61
2024-12-18,33.13,fear,5872.16
2024-12-19,19.51,extreme fear,5867.08
2024-12-20,27.6,fear,5930.85
2024-12-23,30.14,fear,5974.07
2024-12-24,34.51,fear,6040.04
2024-12-26,34.17,fear,6037.59
2024-12-27,33.83,fear,5970.84
2024-12-30,28.6,fear,5906.94
2024-12-31,26.31,fear,5881.63
2025-01-02,24.31,extreme fear,5868.55
2025-01-03,28.89,fear,5942.47
2025-01-06,33.77,fear,5975.38
2025-01-07,34.31,fear,5909.03
2025-01-08,31.91,fear,5918.25
2025-01-10,25.63,fear,5827.04
2025-01-13,25.34,fear,5836.22
2025-01-14,25.14,fear,5842.91
2025-01-15,27.43,fear,5949.91
2025-01-16,27.34,fear,5937.34
2025-01-17,36.03,fear,5996.66
2025-01-21,39.91,fear,6049.24
2025-01-22,41.63,fear,6086.37
2025-01-23,43.69,fear,6118.71
2025-01-24,45.8,neutral,6101.24
2025-01-27,37.97,fear,6012.28
2025-01-28,40.63,fear,6067.7
2025-01-29,42.4,fear,6039.31
2025-01-30,45.91,neutral,6071.17
2025-01-31,43.77,fear,6040.53
2025-02-03,37.4,fear,5994.57
2025-02-04,37.14,fear,6037.88
2025-02-05,38.63,fear,6061.48
2025-02-06,39.69,fear,6083.57
2025-02-07,38.37,fear,6025.99
2025-02-10,44.71,fear,6066.44
2025-02-11,45.4,neutral,6068.5
2025-02-12,41.37,fear,6051.97
2025-02-13,46.6,neutral,6115.07
2025-02-14,43.69,fear,6114.63
2025-02-18,46.8,neutral,6129.58
2025-02-19,47.63,neutral,6144.15
2025-02-20,44.23,fear,6117.52
2025-02-21,36.97,fear,6013.13
2025-02-24,29.54,fear,5983.25
2025-02-25,24.2,extreme fear,5955.25
2025-02-26,21.26,extreme fear,5956.06
2025-02-27,12.76,extreme fear,5861.57
2025-02-28,20.66,extreme fear,5954.5
2025-03-03,12.34,extreme fear,5849.72
2025-03-04,11.04,extreme fear,5778.15
2025-03-05,11.51,extreme fear,5842.63
2025-03-06,17.2,extreme fear,5738.52
2025-03-07,17.64,extreme fear,5770.2
2025-03-10,17.07,extreme fear,5614.56
2025-03-11,15.11,extreme fear,5572.07
2025-03-12,15.91,extreme fear,5599.3
2025-03-13,15.19,extreme fear,5521.52
2025-03-14,22.06,extreme fear,5638.94
2025-03-17,22.57,extreme fear,5675.12
2025-03-18,22.23,extreme fear,5614.66
2025-03-19,24.43,extreme fear,5675.29
2025-03-20,24.0,extreme fear,5662.89
2025-03-21,25.03,fear,5667.56
2025-03-24,29.77,fear,5767.57
2025-03-25,30.46,fear,5776.65
2025-03-26,27.8,fear,5712.2
2025-03-27,28.54,fear,5693.31
2025-03-28,21.74,extreme fear,5580.94
2025-03-31,19.29,extreme fear,5611.85
2025-04-01,15.63,extreme fear,5633.07
2025-04-02,18.64,extreme fear,5670.97
2025-04-03,7.67,extreme fear,5396.52
